LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,GDEXPRD,TOT,PC_GDP,A,201601,2.85350080390023,
USA,GDEXPRD,TOT,PC_GDP,A,201602,2.85350080390023,
USA,GDEXPRD,TOT,PC_GDP,A,201603,2.85350080390023,
USA,GDEXPRD,TOT,PC_GDP,A,201604,2.85350080390023,
USA,GDEXPRD,TOT,PC_GDP,A,201605,2.85350080390023,
USA,GDEXPRD,TOT,PC_GDP,A,201606,2.85350080390023,
USA,GDEXPRD,TOT,PC_GDP,A,201607,2.85350080390023,
USA,GDEXPRD,TOT,PC_GDP,A,201608,2.85350080390023,
USA,GDEXPRD,TOT,PC_GDP,A,201609,2.85350080390023,
USA,GDEXPRD,TOT,PC_GDP,A,201610,2.85350080390023,
USA,GDEXPRD,TOT,PC_GDP,A,201611,2.85350080390023,
USA,GDEXPRD,TOT,PC_GDP,A,201612,2.85350080390023,
USA,GDEXPRD,TOT,PC_GDP,A,201701,2.90432413835629,
USA,GDEXPRD,TOT,PC_GDP,A,201702,2.90432413835629,
USA,GDEXPRD,TOT,PC_GDP,A,201703,2.90432413835629,
USA,GDEXPRD,TOT,PC_GDP,A,201704,2.90432413835629,
USA,GDEXPRD,TOT,PC_GDP,A,201705,2.90432413835629,
USA,GDEXPRD,TOT,PC_GDP,A,201706,2.90432413835629,
USA,GDEXPRD,TOT,PC_GDP,A,201707,2.90432413835629,
USA,GDEXPRD,TOT,PC_GDP,A,201708,2.90432413835629,
USA,GDEXPRD,TOT,PC_GDP,A,201709,2.90432413835629,
USA,GDEXPRD,TOT,PC_GDP,A,201710,2.90432413835629,
USA,GDEXPRD,TOT,PC_GDP,A,201711,2.90432413835629,
USA,GDEXPRD,TOT,PC_GDP,A,201712,2.90432413835629,
USA,GDEXPRD,TOT,PC_GDP,A,201801,3.01010205104374,
USA,GDEXPRD,TOT,PC_GDP,A,201802,3.01010205104374,
USA,GDEXPRD,TOT,PC_GDP,A,201803,3.01010205104374,
USA,GDEXPRD,TOT,PC_GDP,A,201804,3.01010205104374,
USA,GDEXPRD,TOT,PC_GDP,A,201805,3.01010205104374,
USA,GDEXPRD,TOT,PC_GDP,A,201806,3.01010205104374,
USA,GDEXPRD,TOT,PC_GDP,A,201807,3.01010205104374,
USA,GDEXPRD,TOT,PC_GDP,A,201808,3.01010205104374,
USA,GDEXPRD,TOT,PC_GDP,A,201809,3.01010205104374,
USA,GDEXPRD,TOT,PC_GDP,A,201810,3.01010205104374,
USA,GDEXPRD,TOT,PC_GDP,A,201811,3.01010205104374,
USA,GDEXPRD,TOT,PC_GDP,A,201812,3.01010205104374,
USA,GDEXPRD,TOT,PC_GDP,A,201901,3.17048669808151,
USA,GDEXPRD,TOT,PC_GDP,A,201902,3.17048669808151,
USA,GDEXPRD,TOT,PC_GDP,A,201903,3.17048669808151,
USA,GDEXPRD,TOT,PC_GDP,A,201904,3.17048669808151,
USA,GDEXPRD,TOT,PC_GDP,A,201905,3.17048669808151,
USA,GDEXPRD,TOT,PC_GDP,A,201906,3.17048669808151,
USA,GDEXPRD,TOT,PC_GDP,A,201907,3.17048669808151,
USA,GDEXPRD,TOT,PC_GDP,A,201908,3.17048669808151,
USA,GDEXPRD,TOT,PC_GDP,A,201909,3.17048669808151,
USA,GDEXPRD,TOT,PC_GDP,A,201910,3.17048669808151,
USA,GDEXPRD,TOT,PC_GDP,A,201911,3.17048669808151,
USA,GDEXPRD,TOT,PC_GDP,A,201912,3.17048669808151,
USA,GDEXPRD,TOT,PC_GDP,A,202001,3.46777095330333,
USA,GDEXPRD,TOT,PC_GDP,A,202002,3.46777095330333,
USA,GDEXPRD,TOT,PC_GDP,A,202003,3.46777095330333,
USA,GDEXPRD,TOT,PC_GDP,A,202004,3.46777095330333,
USA,GDEXPRD,TOT,PC_GDP,A,202005,3.46777095330333,
USA,GDEXPRD,TOT,PC_GDP,A,202006,3.46777095330333,
USA,GDEXPRD,TOT,PC_GDP,A,202007,3.46777095330333,
USA,GDEXPRD,TOT,PC_GDP,A,202008,3.46777095330333,
USA,GDEXPRD,TOT,PC_GDP,A,202009,3.46777095330333,
USA,GDEXPRD,TOT,PC_GDP,A,202010,3.46777095330333,
USA,GDEXPRD,TOT,PC_GDP,A,202011,3.46777095330333,
USA,GDEXPRD,TOT,PC_GDP,A,202012,3.46777095330333,
USA,GDEXPRD,TOT,PC_GDP,A,202101,3.45704567785975,
USA,GDEXPRD,TOT,PC_GDP,A,202102,3.45704567785975,
USA,GDEXPRD,TOT,PC_GDP,A,202103,3.45704567785975,
USA,GDEXPRD,TOT,PC_GDP,A,202104,3.45704567785975,
USA,GDEXPRD,TOT,PC_GDP,A,202105,3.45704567785975,
USA,GDEXPRD,TOT,PC_GDP,A,202106,3.45704567785975,
USA,GDEXPRD,TOT,PC_GDP,A,202107,3.45704567785975,
USA,GDEXPRD,TOT,PC_GDP,A,202108,3.45704567785975,
USA,GDEXPRD,TOT,PC_GDP,A,202109,3.45704567785975,
USA,GDEXPRD,TOT,PC_GDP,A,202110,3.45704567785975,
USA,GDEXPRD,TOT,PC_GDP,A,202111,3.45704567785975,
USA,GDEXPRD,TOT,PC_GDP,A,202112,3.45704567785975,